,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,Thakurgaon,,,,,,,,,,,
2,,,,,,,,,,,,
3,Upazila,Number of branch of all private commercial banks,Number of borrower Agriculture debt Male,Number of borrower Agriculture debt Female,Number of borrower Industry debt. Male,Number of borrower Industry debt. Female,Number of borrower Other debt Male,Number of borrower Other debt Female,Number of borrower Male,Number of borrower Female,Number of borrower Total debt (crore tk) Male,Number of borrower Total debt (crore tk) Female
4,Baliadangi,0,0,0,0,0,0,0,0,0,0,0
5,Haripur,0,0,0,0,0,0,0,0,0,0,0
6,Pirgonj,1,0,0,0,0,113,2,113,2,2.396,0.004
7,Ranisankail,0,0,0,0,0,0,0,0,0,0,0
8,Thakurgaon Sadar,2,366,64,0,0,320,0,686,64,109.22,0.84
9,Total,3,366,64,0,0,433,2,799,66,111,0.844
