,0,1,2,3,4
0,Number of pottery and person engaged 2011,,,,
1,Thakurgaon,,,,
2,,,,,
3,Upazila,Unit,Person engaged Family,Person engaged Hired,Person engaged Total
4,Baliadangi	12,38,12,50,
5,Haripur	22,50,0,50,
6,Pirgonj	7,21,0,21,
7,Ranisankail	183,420,0,420,
8,Thakurgaon Sadar	72,102,25,127,
9,Total	296,591,157,748,
