,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Pubali and Uttara bank 2011,,,,,,,,,,
1,Thakurgaon,,,,,,,,,,
2,,,,,,,,,,,
3,Upazila,Pubali bank Number of branch Number of branch,Pubali bank Account S.D,Pubali bank Account C.D,Pubali bank Account F.D,Pubali bank Account S.T.D,Uttara bank Number of branch Number of branch,Uttara bank Account S.D,Uttara bank Account C.D,Uttara bank Account F.D,Uttara bank Account S.T.D
4,Baliadangi,0,0,0,0,0,0,0,0,0,0
5,Haripur,0,0,0,0,0,0,0,0,0,0
6,Pirgonj,0,0,0,0,0,0,0,0,0,0
7,Ranisankail,0,0,0,0,0,0,0,0,0,0
8,Thakurgaon Sadar,2,46628,80991,68122,63372,1,2400,2700,3100,3500
9,Total,2,46628,80991,68122,63372,1,2400,2700,3100,3500
