,0,1,2,3,4,5,6,7,8
0,"Number of Government primary school (class I-V), teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of Government primary school,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3, Upazila,Number of Government primary school,Male,Female,Total,Male,Femal e,Total,Students per teacher
4,Bholahat,26,64,56,120,3401,3786,7187,60
5,Chapai Nawabganj Sadar,129,248,590,838,18220,19742,37962,45
6,Gomastapur,57,139,210,349,9077,10049,19126,55
7,Nachole,38,80,112,192,4269,4669,8938,46
8,Shibganj,120,312,389,701,17121,18866,35987,51
9,Total,370,843,1357,2200,52088,57112,109200,50
