,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,,,,,,,,
2,Upazila,Pond,Dighee,Rivers flow,Flood camps/shelter,Cyclone shelter,Stadium/ Playground,Park/ Amusement park
3,Bhola Sadar,10722,10,2,10,40,103,1
4,Burhanuddin,14225,5,2,0,72,23,0
5,Char Fasson,28078,0,3,0,78,7,0
6,Daulatkhan,4958,0,1,1,28,1,0
7,Lalmohan,8108,0,2,3,60,1,0
8,Manpura,6917,4,1,0,39,75,0
9,Tazumuddin,3907,30,1,2,22,42,0
10,Total,76915,49,12,16,339,252,1
