,0,1,2,3,4,5,6
0,"Number and area of pond, dighee and other area 2010-2011",,,,,,
1,,,,,,,
2,(Area in acre) - Upazila,(Area in acre) - Pond - Number,(Area in acre) - Pond - Area,(Area in acre) - Dighee - Number,(Area in acre) - Dighee - Area,(Area in acre) - Other area,(Area in acre) - Total area
3,Azmirigonj,632,153,19,47,61,261
4,Bahubal,3035,758,10,13,580,1351
5,Baniachang,3242,1549,208,81,9450,11080
6,Chunarughat,8738,2333,3,12,1,2346
7,Habiganj Sadar,7642,1567,3,15,267,1849
8,Lakhai,1210,310,0,0,49,359
9,Madhabpur,2744,482,8,13,4479,4974
10,Nabiganj,5107,1276,206,3055,801,5132
11,Total,32350,8428,457,3236,15688,27352
