,0,1,2,3,4,5,6,7,8
0,"Number of secondary school & college (operating jointly), teacher and student by municipality 2011",,,,,,,,
1,"
Upazila","Number of
institute",Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,"Students per
teacher"
2,"
Upazila","Number of
institute",Male,Female,Total,Male,Female,Total,"Students per
teacher"
3,Bakshiganj,0,0,0,0,0,0,0,0
4,Dewanganj,0,0,0,0,0,0,0,0
5,Islampur,1,14,12,26,0,1328,1328,51
6,Jamalpur Sadar,1,25,17,42,526,409,935,22
7,Madarganj,0,0,0,0,0,0,0,0
8,Melandaha,1,24,5,29,835,286,1121,39
9,Sarishabari,1,26,21,47,0,1132,1132,24
10,Total,4,89,55,144,1361,3155,4516,31
