,0,1,2,3,4
0,Number of wooden furniture and person engaged 2011,,,,
1,,,,,
2,Upazila/City corporation,Unit,Person engaged - Family,Person engaged - Hired,Person engaged - Total
3,Anowara,31,56,14,70
4,Banshkhali,155,310,465,775
5,Boalkhali,250,500,2000,2500
6,Chandanaish,82,82,246,328
7,Chittagong City Corp.,790,824,2632,3456
8,Fatikchhari,982,1945,2968,4913
9,Hathazari,400,500,600,1100
10,Lohagara,500,250,200,450
11,Mirsharai,840,877,2562,3439
12,Patiya,130,200,390,590
13,Rangunia,391,407,1173,1580
14,Raozan,530,615,2120,2735
15,Sandwip,30,45,120,165
16,Satkania,167,183,452,635
17,Sitakunda,149,208,237,445
18,Total,5427,7002,16179,23181
