,0,1,2,3
0,Number of co-operative society 2011,,,
1,Chittagong,,,
2,,,,
3,Upazila/City corporation,Number,Number of employee,Number of client
4,Anowara,358,136,10902
5,Banshkhali,262,26,8928
6,Boalkhali,300,35,10200
7,Chandanaish,137,64,10310
8,Chittagong City Corporation,187,689,25068
9,Fatikchhari,150,495,74400
10,Hathazari,180,134,31533
11,Lohagara,261,23,7778
12,Mirsharai,104,289,3731
13,Patiya,513,58,20100
14,Rangunia,72,79,9537
15,Raozan,124,5,8618
16,Sandwip,3,78,15800
17,Satkania,459,63,5420
18,Sitakunda,100,200,5671
19,Total,44,489,247996
