,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,(Rate in taka),,,
2,Upazila/City corporation,(Rate in taka) - Labour - Male,(Rate in taka) - Labour - Female,(Rate in taka) - Labour - Child (under 15 years old)
3,Anowara,500,300,400
4,Banshkhali,500,200,400
5,Boalkhali,450,300,400
6,Chandanaish,400,250,400
7,Chittagong City Corp.,500,400,450
8,Fatikchhari,500,250,400
9,Hathazari,500,300,500
10,Lohagara,500,300,400
11,Mirsharai,500,300,500
12,Patiya,450,350,430
13,Rangunia,450,250,500
14,Raozan,500,250,450
15,Sandwip,550,250,300
16,Satkania,500,400,500
17,Sitakunda,400,300,400
18,Average,480,290,428
