,0,1,2,3,4,5
0,Average rate of vehicle per kilo meter 2011,,,,,
1,(Rate in taka),,,,,
2,Upazila/City corporation,(Rate in taka) - Vehicle - Rickshaw,(Rate in taka) - Vehicle - Rickshaw van,(Rate in taka) - Vehicle - Easy bike,(Rate in taka) - Vehicle - Auto rickshaw,(Rate in taka) - Vehicle - Tempo
3,Anowara,12,0,0,0,3
4,Banshkhali,5,10,3,5,2
5,Boalkhali,10,20,10,5,4
6,Chandanaish,0,0,4,5,2
7,Chittagong City Corp.,15,12,10,5,5
8,Fatikchhari,15,20,10,5,5
9,Hathazari,25,20,0,25,3
10,Lohagara,10,10,0,5,5
11,Mirsharai,15,20,10,10,8
12,Patiya,15,30,10,5,3
13,Rangunia,20,20,0,5,5
14,Raozan,10,30,5,10,0
15,Sandwip,10,5,5,5,5
16,Satkania,12,8,5,5,4
17,Sitakunda,10,30,10,10,5
18,Average,14,18,7,8,4
