,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,Chittagong,,,,,,,,,
2,,,,,,,,,,
3, Upazila/City corporation,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
4,Anowara,0,0,185,0,0,0,0,7,153
5,Banshkhali,0,420,1902,0,0,7172,75,62,120150
6,Boalkhali,0,212,1315,0,0,1,0,15,0
7,Chandanaish,2,67,72,0,0,0,0,35,103
8,Chittagong City Corporation,0,73,379,0,1,20,0,0,114
9,Fatikchhari,0,756,446,0,0,0,0,733,0
10,Hathazari,0,0,300,0,0,0,0,50,20
11,Lohagara,0,0,500,0,0,0,0,0,0
12,Mirsharai,0,340,167,0,2,0,0,65,30
13,Patiya,0,0,256,0,0,33,15,150,0
14,Rangunia,0,0,0,0,0,0,0,40,482
15,Raozan,0,0,1500,0,0,0,0,97,0
16,Sandwip,0,37,53,0,0,0,0,0,0
17,Satkania,0,0,167,0,0,0,0,57,0
18,Sitakunda,0,1001,627,0,0,0,0,97,53
19,Total,2,2906,7574,0,3,7226,90,1408,121105
