,0,1,2,3,4
0,"Number of registered rickshaw, van, easy bike and auto-rickshaw 2011",,,,
1,Chittagong,,,,
2,,,,,
3,Upazila/City corporation,Rickshaw,Van,Easy bike and auto-rickshaw,Tempo
4,Anowara,185,15,70,19
5,Banshkhali,450,225,372,85
6,Boalkhali,3000,500,300,120
7,Chandanaish,410,51,80,27
8,Chittagong City Corporation,16893,3952,1610,1104
9,Fatikchhari,1726,847,673,252
10,Hathazari,400,200,500,80
11,Lohagara,200,100,130,0
12,Mirsharai,456,47,16,15
13,Patiya,460,62,12,42
14,Rangunia,2039,527,950,78
15,Raozan,800,30,10,0
16,Sandwip,370,75,37,13
17,Satkania,1966,860,880,24
18,Sitakunda,2597,153,41,23
19,Total,31952,7644,5681,1882
