,0,1,2,3,4,5,6,7
0,Irrigation by means 2010-2011,,,,,,,
1,(In acre),,,,,,,
2, Upazila,Irrigation management,Irrigation management,Irrigation management,Irrigation management,Irrigation management,Irrigation management, Total
3, Upazila,Power pump,Tube well,Doon,Swing basket,Canal,Others, Total
4,Gopalganj Sadar,32656,11305,3,2,0,0,43966
5,Kashiani,3579,0,12,0,0,0,3591
6,Kotalipara,49740,0,0,0,5250,0,54990
7,Muksudpur,45547,0,1200,10,0,284,47041
8,Tungipara,14300,238,2000,1469,3000,532,21539
9,Total,145822,11543,3215,1481,8250,816,171127
