,0,1,2,3,4,5,6,7
0,Number of existing family planning personnel 2011,,,,,,,
1,Upazila,TFPO,M.O,FPI,TFPA,FWV,FWA,"Midwife or
SBA"
2,Harinakunda,1,1,4,1,6,32,92
3,Jhenaidah Sadar,1,1,15,3,23,60,26
4,Kaliganj,1,0,4,2,13,47,3
5,Kotchandpur,1,0,4,2,4,22,85
6,Mahespur,1,1,12,3,11,53,5
7,Shailkupa,1,0,10,2,15,72,8
8,Total,6,3,49,13,72,286,219
