,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,Moulvibazar,,,,,,,,,,
2,,,,,,,,,,,
3, Upazila,Sonali bank - Number of branch,Sonali bank - Account - S.D,Sonali bank - Account - C.D,Sonali bank - Account - F.D,Sonali bank - Account - S.T.D,Janata bank - Number of branch,Janata bank - Account - S.D,Janata bank - Account - C.D,Janata bank - Account - F.D,Janata bank - Account - S.T.D
4,Barlekha,3,12500,2500,40,15,1,8553,1400,211,0
5,Juri,1,2054,247,82,9,2,10105,249,219,6
6,Kamalganj,0,3,0,0,0,1,0,0,0,0
7,Kulaura,2,15032,752,313,47,1,5743,281,72,10
8,Moulvibazar Sadar,7,22150,2397,872,283,4,665,75,42,4
9,Rajnagar,3,8178,340,169,14,1,3430,284,50,4
10,Sreemangal,3,7846,458,185,39,1,3869,310,113,14
11,Total,19,67763,6694,1661,407,11,32365,2599,707,38
