,0,1,2,3,4,5,6,7,8
0,Number of ebtedayee madrasah 2011,,,,,,,,
1,Moulvibazar,,,,,,,,
2,,,,,,,,,
3, Upazila,Number of madrasah,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Barlekha,8,28,4,32,984,656,1640,51
5,Juri,6,21,6,27,330,365,395,15
6,Kamalganj,6,24,6,30,872,1000,1872,62
7,Kulaura,26,181,12,193,2250,2565,4815,25
8,Moulvibazar Sadar,4,14,2,16,340,324,664,42
9,Rajnagar,20,56,24,80,1135,1195,2330,29
10,Sreemangal,5,20,0,20,710,505,1212,61
11,Total,75,344,54,398,6621,6610,12928,32
