,0,1,2,3,4,5,6,7,8
0,"Number of Non government college, teacher and student 2011",,,,,,,,
1,Moulvibazar,,,,,,,,
2,,,,,,,,,
3, Upazila,Number of college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Barlekha,4,48,11,59,811,1615,2426,41
5,Juri,2,29,4,33,1167,1094,2261,69
6,Kamalganj,3,36,8,44,1300,1698,2998,68
7,Kulaura,4,68,28,96,1064,1786,2850,30
8,Moulvibazar Sadar,1,7,5,12,332,148,484,40
9,Rajnagar,2,33,14,47,458,702,1160,25
10,Sreemangal,1,14,8,22,0,446,446,20
11,Total,17,235,78,313,5132,7489,12625,40
