,0,1,2,3,4,5,6,7
0,Irrigation by means 2010-2011,,,,,,,
1,(In acre),,,,,,,
2, Upazila,Irrigation management - Power pump,Irrigation management - Tube well,Irrigation management - Doon,Irrigation management - Swing basket,Irrigation management - Canal,Irrigation management - Others, Total
3,Dimla,9975,0,162,0,900,0,1272
4,Domar,18908,1838,0,0,0,23,1861
5,Jaldhaka,5512,45500,7500,7000,25000,500,85500
6,Kishorgonj,2959,0,420,98,4320,0,4838
7,Nilphamary Sadar,20198,70240,600,0,100,200,71140
8,Sayedpur,6515,0,0,0,1500,0,4500
9,Total,64067,117578,8682,7098,31820,723,169111
