,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,,,,,,,,
2, Upazila,Agricultural personnel,Live- stock personnel,Plant protection,Fishery personnel,Sanitary personnel,Family planning personnel,Trained midwife
3,Baghaichhari,27,8,7,3,2,35,1
4,Barkal,21,8,0,0,6,29,0
5,Belai Chhari,23,7,7,0,4,18,0
6,Jurai Chhari,29,8,6,2,9,24,11
7,Kaptai,77,8,0,22,10,37,5
8,Kawkhali,27,9,0,3,9,37,0
9,Langadu,24,3,4,7,6,30,75
10,Naniarchar,31,8,20,3,9,36,0
11,Rangamati Sadar,19,9,15,5,10,24,0
12,Rajasthali,21,7,0,3,7,19,9
13,Total,299,75,59,48,72,289,101
