,0,1,2,3,4,5,6,7
0,"Number of household, population and density 2011",,,,,,,
1,,,,,,,,
2,Upazila,Household,Population (000),Population (000),Population (000),Sex ratio (M/F),Average size of household,Density per sq. km.
3,Upazila,Household,Male,Female,Total,Sex ratio (M/F),Average size of household,Density per sq. km.
4,Begumganj,101689,261,288,549,91,5.37,2304
5,Chatkhil,46044,108,125,233,86,5.02,1742
6,Companiganj,49015,120,130,250,92,5.10,658
7,Hatiya,91013,224,229,453,98,4.98,300
8,Kabirhat,36054,93,104,197,89,5.45,1063
9,Noakhali Sadar,100219,253,273,526,93,5.17,1565
10,Senbagh,53943,133,150,283,89,5.20,1775
11,Sonaimuri,60542,150,177,327,84,5.36,1934
12,Subarnachar,55399,144,146,290,98,5.23,503
13,Total,593918,1486,1622,3108,92,5.20,843
