,0,1,2,3,4
0,Number of low lift pump scheme 2010-11,,,,
1,BrahmanBaria,,,,
2,,,,,
3,Upazila,Number of pumps fielded Electric,Number of pumps fielded Diesel,Number of pumps fielded Total,Area irrigated (in acre)
4,Akhaura,58,470,528,6200
5,Ashuganj,183,345,528,13068
6,Banchrampur,108,1475,1583,13585
7,Bijoynogor,146,2483,2629,21427
8,Brahmanbaria Sadar,724,1094,1818,70536
9,Kasba,797,2216,3013,27925
10,Nabinagar,191,575,766,33974
11,Nasirnagar,32,510,542,46197
12,Sarail,218,1025,1243,14710
13,Total,2457,10193,12650,247622
