,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,,,,,,,,
2,Upazila/City corporation,Agricultural personnel,Live- stock personnel,Plant protection,Fishery personnel,Sanitary personnel,Family planning personnel,Trained midwife
3,Anowara,5625,21,1235,1805,55,185,40
4,Banshkhali,45,33,1,63,48,152,42
5,Boalkhali,93255,12,0,626,55,187,16
6,Chandanaish,0,8,0,2430,36,117,33
7,Chittagong City Corp., 23, 128, 0, 1224, 240, 221, 65
8,Fatikchhari,57,19,0,5,4,112,1
9,Hathazari,54200,8,0,800,17,87,0
10,Lohagara,25,2,25,3,7,62,6
11,Mirsharai,65,13,0,4,12,223,26
12,Patiya,98312,18,0,721,68,210,31
13,Rangunia,35174,42,0,4170,220,83,35
14,Raozan,50,9,50,4,7,109,10
15,Sandwip,5,6,0,5,5,22,220
16,Satkania,53206,39,0,11600,173,476,39
17,Sitakunda,73452,27,0,4554,123,373,56
18,Total,413494,385,1311,28014,1070,2619,620
