,0,1,2,3,4,5,6,7,8,9,10
0,"Number of primary school (Class I-V), teacher and student by municipality 2011",,,,,,,,,,
1,,,,,,,,,,,
2,Upazila/City corporation,Primary school - Govt.,Primary school - Non- govt.,Primary school - Total,Number of teacher - Govt,Number of teacher - Non- govt.,Number of teacher - Total,Number of student - Govt.,Number of student - Non- govt.,Number of student - Total,Students per teacher
3,Anowara,0,0,0,0,0,0,0,0,0,0
4,Banshkhali,8,4,12,62,16,78,4220,1480,5700,73
5,Boalkhali,0,0,0,0,0,0,0,0,0,0
6,Chandanaish,13,4,17,119,16,135,2649,545,3194,24
7,Chittagong City Corp.,179,89,268,1394,381,1775,140392,35549,175941,99
8,Fatikchhari,15,3,18,73,11,84,5402,616,6018,77
9,Hathazari,0,0,0,0,0,0,0,0,0,0
10,Lohagara,0,0,0,0,0,0,0,0,0,0
11,Mirsharai,7,0,4,35,0,35,2080,0,2080,66
12,Patiya,5,0,5,35,0,35,2280,0,2280,65
13,Rangunia,11,4,15,76,17,93,3090,622,3712,40
14,Raozan,27,5,27,148,25,173,8920,1052,9972,57
15,Sandwip,7,4,8,35,32,67,3500,2050,5550,83
16,Satkania,14,10,24,72,20,92,5721,1200,6921,75
17,Sitakunda,9,5,14,65,20,85,3401,812,4213,50
18,Total,295,128,412,2114,538,2652,181655,43926,225581,64
