,0,1,2,3
0,Length of embankment road & canal 2011,,,
1,(Kilometer),,,
2, Upazila/City corporation, Embankment road, Canal, Others road
3,Anowara,1,0,0
4,Banshkhali,10.75,2391,0
5,Boalkhali,0,24,0
6,Chandanaish,0,15,0
7,Chittagong City Corp.,4,12,5
8,Fatikchhari,0,234,0
9,Hathazari,36,100,0
10,Lohagara,0,0,0
11,Mirsharai,13,21,542
12,Patiya,0,25,120
13,Rangunia,3,24,0
14,Raozan,0,140,0
15,Sandwip,26.15,16,15
16,Satkania,42,54,8
17,Sitakunda,0,910,25.98
18,Total,135.90,3966,715.98
