,0,1,2,3,4,5,6,7
0,"Number of household, population and density 2011",,,,,,,
1,,,,,,,,
2, Upazila/City corporation, Household,Population - Male,Population - Female,Population - Both sex,Sex ratio (M/F),Average size of household,Density per sq. km.
3,Anowara,49966,126709,132313,259022,96,5.1,1578
4,Banshkhali,84216,212011,219151,431162,97,5.1,1144
5,Boalkhali,44108,109273,113852,223125,96,5.0,1764
6,Chandanaish,44438,117418,115599,233017,102,5.2,1154
7,Chittagong City Corporation,558097,1367852,1224587,2592439,110,4.6,20190
8,Fatikchhari,100009,259730,266273,526003,98,5.2,680
9,Hathazari,81292,215201,216547,431748,99,5.2,1753
10,Lohagara,52873,135717,144196,279913,94,5.2,1081
11,Mirsharai,79545,187323,211393,398716,89,5.0,826
12,Patiya,101599,266153,261967,528120,102,5.1,2493
13,Rangunia,67792,168412,170592,339004,99,4.9,938
14,Raozan,63375,156255,166585,322840,94,5.0,1309
15,Sandwip,56617,128656,149949,278605,86,4.9,365
16,Satkania,70808,186007,198799,384806,94,5.4,1370
17,Sitakunda,77279,202137,185695,387832,109,4.9,801
18,Total,1532014,3838854,3777498,7616352,102,4.9,1442
