,0,1,2,3
0,Length of railway and water way 2011,,,
1,(Kilometer),,,
2, Upazila/City corporation,"Total railway (all broad gage, meter gage & duel gage)",Water way in monsoon (river + canal),Water way in round the year (river + canal)
3,Anowara,0,12,12
4,Banshkhali,0,120,130
5,Boalkhali,5,33,20
6,Chandanaish,20,20,5
7,Chittagong City Corp.,44.9,16.43,14.03
8,Fatikchhari,0,0,0
9,Hathazari,19,100,30
10,Lohagara,0,0,0
11,Mirsharai,12,59,53
12,Patiya,16,2025,920
13,Rangunia,0,24,24
14,Raozan,0,0,10
15,Sandwip,0,85.74,185.74
16,Satkania,0,0,0
17,Sitakunda,45,0,0
18,Total,161.9,2495.17,1403.77
