,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,,,,,,,,
2,Upazila/City corporation, Pond, Dighee, River flow,Flood camp/ shelter,Cyclone shelter,Stadium/ playground,Park/ amusement park
3,Anowara,6500,12,1,52,52,16,2
4,Banshkhali,3200,19,1,0,117,13,1
5,Boalkhali,4383,10,1,0,6,3,0
6,Chandanaish,3570,24,1,0,0,42,1
7,Chittagong City Corp.,234,13,5,16,37,59,11
8,Fatikchhari,4030,353,2,0,0,1,1
9,Hathazari,7708,850,1,0,0,187,0
10,Lohagara,2578,41,0,0,0,253,0
11,Mirsharai,13610,10,2,0,74,21,0
12,Patiya,518,45,1,0,12,6,2
13,Rangunia,3450,110,2,0,2,1,1
14,Raozan,4370,43,2,0,1,1,0
15,Sandwip,10339,0,0,270,12,2,0
16,Satkania,5186,18,1,0,6,102,0
17,Sitakunda,4208,18,1,0,59,31,1
18,Total,73884,1566,21,338,378,738,20
