,0,1,2,3,4
0,Number of branch of Grameen bank 2011,,,,
1,,,,,
2,Upazila/City corporation,Number of branch,Number of employee,Number of member,Number of account
3,Anowara,0,0,0,0
4,Banshkhali,9,59,20221,25487
5,Boalkhali,5,41,18500,20350
6,Chandanaish,2,32,255,5100
7,Chittagong City Corp.,4,48,11550,12166
8,Fatikchhari,9,52,18726,18726
9,Hathazari,7,42,21000,30000
10,Lohagara,5,35,9610,11802
11,Mirsharai,10,92,27820,30850
12,Patiya,8,85,27300,40310
13,Rangunia,5,27,7566,7566
14,Raozan,3,28,6986,9500
15,Sandwip,9,180,3820,30520
16,Satkania,5,32,10150,14577
17,Sitakunda,5,41,839,247
18,Total,86,794,184343,257201
