,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,(Rate in Taka),,,
2,Upazila/City corporation,Male,Female,Child (Child means under 15 years old)
3,Balaganj,250,200,150
4,Beanibazar,250,200,100
5,Bishwanath,200,150,150
6,Companiganj,250,200,100
7,Dakhin surma,250,200,150
8,Fenchuganj,250,180,100
9,Golapganj,220,150,120
10,Gowainghat,300,250,150
11,Jaintiapur,250,200,120
12,Kanaighat,300,200,100
13,Sylhet city corporation,0,0,0
14,Sylhet sadar,250,180,100
15,Zakiganj,200,150,100
16,District Average,228,174,110
