,0,1,2,3,4
0,Number of different club 2011,,,,
1,"
Upazila/City corporation","
Sports club","
Cultural club","
Science club","Other social club (like officers’
club, rifle club etc.)"
2,Balaganj,1,14,0,1
3,Beanibazar,4,2,0,8
4,Bishwanath,18,3,0,4
5,Companiganj,21,0,0,3
6,Dakhin surma,52,13,0,0
7,Fenchuganj,0,0,0,2
8,Golapganj,2,5,1,6
9,Gowainghat,2,1,0,15
10,Jaintiapur,19,1,0,2
11,Kanaighat,0,0,0,0
12,Sylhet city corporation,43,33,2,2
13,Sylhet sadar,250,25,0,3
14,Zakiganj,2,2,0,1
15,Total,414,99,3,47
