,0,1,2,3,4
0,Area and production of turmeric and ginger 2009-10,,,,
1,(Area in acre and production in metric ton),,,,
2,Upazila/City corporation,Turmeric,Turmeric,Ginger,Ginger
3,Upazila/City corporation,Area,Production,Area,Production
4,Balaganj,0,0,0,0
5,Beanibazar,38,1.88,23,1.34
6,Bishwanath,0,0,0,0
7,Companiganj,0,0,0,0
8,Dakhin surma,4.5,6.03,3.7,4.56
9,Fenchuganj,0,0,0,0
10,Golapganj,15,12,7,9
11,Gowainghat,0,0,0,0
12,Jaintiapur,22,19.8,17,17
13,Kanaighat,5,2,4,1
14,Sylhet city corporation,0,0,0,0
15,Sylhet sadar,12.35,46,15,61
16,Zakiganj,0,0,0,0
17,Total,96.85,87.71,69.7,93.9
