,0,1,2,3,4,5,6,7,8,9,10,11
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,,
1,"
Upazila",Sonali bank,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Janata bank	I,Janata bank	I,Janata bank	I,Janata bank	I,Janata bank	I
2,"
Upazila","Number of
b ranch",Account,Account,Account,Account,Account,"Number
of branch",Account,Account,Account,Account
3,"
Upazila","Number of
b ranch",S.D	I,C.D,I,F.D,I S.T.D,"Number
of branch",S.D	I,C.D,I F.D,I S.T.D
4,Gazaria,2,7193,869,140,40,0,0,0,0,0,
5,Lauhajang,3,7376,169,428,8,0,0,0,0,0,
6,Munshiganj Sadar,3,16403,1483,255,58,2,47S4,621,283,31,
7,Serajdikhan,7,40215,1141,9S3,6S,0,0,0,0,0,
8,Sreenagar,,4919,530,273,38,,9420,87,284,14,
9,Tongibari,,6228,593,174,31,4,16841,656,212,14,
10,Total,17,82334,4785,2223,250,7,31015,1364,779,59,
