,0,1,2,3,4,5,6,7
0,"Number of Government college, teacher and student 2011",,,,,,,
1,Gazaria,l,15,3,18,223,53,276	15
2,Lauhajang,0,0,0,0,0,0,0	0
3,Munshiganj Sadar,2,64,33,97,3705,2690,6395	66
4,Serajdikhan,0,0,0,0,0,0,0	0
5,Sreenagar,,24,13,37,801,1120,1921	52
6,Tongibari,0,0,0,0,0,0,0	0
7,Total,4,103,49,152,4729,3863,8592	57
