,0,1,2,3,4,5,6,7
0,"Number of madrasah, teacher and student under the madrasah education board 2011",,,,,,,
1,"
Upazila","
Number of madrasah",Number of teacher,Number of student,Students per teacher,,,
2,"
Upazila","
Number of madrasah",Male	I Female I Total,Male	I Female  I	Total,Students per teacher,,,
3,Gazaria,5,60,5,65,540,620,1160	18
4,Lauhajang,6,52,7,59,591,496,1087	18
5,Munshiganj Sadar,7,74,8,82,530,624,1172	14
6,Serajdikhan,10,129,2,131,859,948,1807	14
7,Sreenagar,5,64,4,68,805,1013,1818	27
8,Tongi bari,35,194,9,203,7374,24 5 2,9826	48
9,Tota l,68,573,35,608,10699,6153,16870	28
