,0,1,2,3,4,5,6,7,8
0,Area and production of potato by type 2010-11,,,,,,,,
1,,,,,,,,,
2,( Area in acre and oroduction in metric ton Upazila Upazila Upazila,( Area in acre and oroduction in metric ton Potato Area Area,( Area in acre and oroduction in metric ton Potato IProduction IProduction,( Area in acre and oroduction in metric ton Sweet potato Area Area,( Area in acre and oroduction in metric ton Sweet potato I I,( Area in acre and oroduction in metric ton Sweet potato Production Production,( Area in acre and oroduction in metric ton Total potato Area,( Area in acre and oroduction in metric ton Total potato I,( Area in acre and oroduction in metric ton Total potato Production
3,Gazaria	7695,92527,260,2105,7955,94632,,,
4,Lauhajang	10714,121120,49,140,10763,121260,,,
5,Munshiganj Sadar	21910,275926,104,794,22014,276720,,,
6,Serajdikhan	22061,264732,0,0,22061,264732,,,
7,Sreenagar	8300,110390,6,28,8306,110418,,,
8,Tongibari	20630,258766,24,66,20654,258832,,,
9,Total	91310,1123461,443,3133,91753,1126594,,,
