,0,1,2,3,4,5,6,7
0,"Area and production ofwheat,jute and sugarcane 2010-11",,,,,,,
1,(Area in acre and production in metric ton,(Area in acre and production in metric ton,(Area in acre and production in metric ton,(Area in acre and production in metric ton,(Area in acre and production in metric ton,(Area in acre and production in metric ton,(Area in acre and production in metric ton,(Area in acre and production in metric ton
2,"
Upazila",Wheat,Wheat,Wheat,Jute,Jute,Sugarcane,Sugarcane
3,"
Upazila",Area,I,Production,Area	I,Production,Area	I,Production
4,Gazaria	270,275,776,581,12,288,,
5,Lauhajang	90,60,733,402,45,452,,
6,Munshiganj Sadar	64,41,1578,1269,130,2481,,
7,Serajdikhan	19,14,5342,3039,228,729,,
8,Sreenagar	78,53,503,332,31,173,,
9,Tongibari	18,14,1561,980,64,342,,
10,Total	539,457,10493,6603,510,4465,,
