,0,1,2,3,4,5,6,7,8,9,10
0,"Number of primary school (Class I-V), teacher and student by municipality 2011",,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Primary school - Govt.,Primary school - Non- govt.,Primary school - Total,Number of teacher - Govt.,Number of teacher - Non- govt.,Number of teacher - Total,Number of student - Govt.,Number of student - Non- govt.,Number of student - Total,Students per teacher
3,Belabo,0,0,0,0,0,0,0,0,0,0
4,Manohardi,3,2,5,37,7,44,1601,326,1927,44
5,Narsingdi Sadar,14,2,16,125,7,132,11288,731,12019,91
6,Palash,12,4,16,78,13,91,1740,1390,3130,34
7,Roypura,9,7,16,59,42,101,3379,1260,4639,46
8,Sibpur,4,2,6,38,8,46,1650,459,2109,46
9,Total,42,17,59,337,77,414,19658,4166,23824,58
