,0,1,2,3,4,5,6,7,8
0,"Number of growth centre, hat , bazar, poultry farm, dairy farm, nursery, horticulture centre, brick kiln, decorator service 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Growth centre,Hat /bazar,Poultry farm,Dairy farm,Nursery,Horticulture centre,Brick kiln,Decorator service
3,Barlekha,6,17,140,58,16,0,12,52
4,Juri,1,18,39,9,4,0,3,15
5,Kamalganj,4,20,0,0,20,0,7,43
6,Kulaura,2,45,214,19,30,1,11,51
7,Moulvibazar Sadar,5,47,99,65,28,1,19,84
8,Rajnagar,4,7,173,47,6,17,6,20
9,Sreemangal,5,35,308,80,18,0,0,59
10,Total,27,189,973,278,122,19,58,324
