,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Krishi and Co-operative bank 2011,,,,,,,,,,
1,Bandarban,,,,,,,,,,
2,,,,,,,,,,,
3, Upazila,Krishi bank - Number of  branch,Krishi bank - Account - S.D,Krishi bank - Account - C.D,Krishi bank - Account - F.D,Krishi bank - Account - S.T.D,Co-operative bank - Number of  branch,Co-operative bank - Account - S.D,Co-operative bank - Account - C.D,Co-operative bank - Account - F.D,Co-operative bank - Account - S.T.D
4,Alikadam,1,2284,69,36,9,0,0,0,0,0
5,Bandarban Sadar,2,4293,66,79,22,2,95,210,18,0
6,Lama,2,6234,195,132,0,0,0,0,0,0
7,Naikhongchhari,2,4046,491,28,7,0,0,0,0,0
8,Rowangchhari,1,1216,33,30,7,0,0,0,0,0
9,Ruma,1,1270,26,11,6,0,0,0,0,0
10,Thanchi,1,1086,20,57,5,0,0,0,0,0
11,Total,10,20429,900,373,56,2,95,210,18,0
