,0,1,2,3,4,5,6,7,8,9
0,Number of selected industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Textile mill,Garments factory,Rice mill,Match factory,Steel and engineering, Aluminium, Jute mill, Sugar mill, Others
3,Bagatipara,0,0,0,0,0,0,0,0,0
4,Baraigram,0,0,0,0,0,0,0,0,0
5,Gurudaspur,0,0,158,0,0,0,0,0,0
6,Lalpur,0,0,10,0,0,0,0,1,0
7,Natore Sadar,1,1,99,0,0,2,1,1,0
8,Singra,0,0,370,0,0,0,0,0,0
9,Total,1,1,637,0,0,2,1,2,0
