,0,1,2,3,4,5
0,Existing position of Government employee by category 2011,,,,,
1,Bogura,,,,,
2,,,,,,
3,Upazila,Class-I,Class-II,Class-III,Class-IV,Number of total employee
4,Adamdighi,37,34,370,179,620
5,Bogra sadar,178,120,1083,843,2224
6,Dhunat,21,27,772,78,898
7,Gabtali,47,29,904,140,1120
8,Dhupchanchia,27,23,230,100,382
9,Kahaloo,45,30,282,117,474
10,Nandigram,20,42,208,97,367
11,Sariakandi,27,39,313,129,508
12,Sherpur,91,54,378,249,772
13,Shibganj,34,31,287,127,479
14,Sonatola,25,14,239,76,354
15,Shajahanpur,66,59,740,164,1029
16,Total,618,502,5806,2299,9227
