,0,1,2,3,4,5
0,"Number of non-registered rickshaw, van, easy bike and auto-rickshaw 2011",,,,,
1,Bogura,,,,,
2,,,,,,
3,Upazila,Rickshaw,Van,Easy bike and auto-rickshaw,Tempo,Nochimon/korimon/ bhotvoti
4,Adamdighi,0,290,166,0,293
5,Bogra sadar,485,1200,215,15,52
6,Dhunat,62,88,80,38,122
7,Gabtali,16,25,11,0,176
8,Dhupchanchia,25,75,35,20,165
9,Kahaloo,312,2038,94,42,50
10,Nandigram,75,80,15,20,65
11,Sariakandi,0,80,0,0,99
12,Sherpur,425,1038,0,30,65
13,Shibganj,12,175,0,0,125
14,Sonatola,1,1000,10,5,500
15,Shajahanpur,109,768,142,36,57
16,Total,1522,6857,768,206,1769
