,0,1,2,3,4
0,"Number of branch of specialized (Krishi, Co-operative etc) bank 2011",,,,
1,Bogura,,,,
2,,,,,
3,Upazila,Number of branch,Number of employee,Number of saving A/C,Number of current A/C
4,Adamdighi,3,23,5704,143
5,Bogra sadar,6,78,7484,489
6,Dhunat,3,23,5225,309
7,Gabtali,4,34,12082,716
8,Dhupchanchia,1,11,3259,85
9,Kahaloo,4,31,10801,546
10,Nandigram,4,25,7258,189
11,Sariakandi,2,31,10396,374
12,Sherpur,1,15,2355,140
13,Shibganj,6,45,17755,548
14,Sonatola,3,18,5046,54
15,Shajahanpur,2,18,2339,152
16,Total,39,352,89704,3745
