,0,1,2,3,4
0,Number of cold storage and capacity in following years,,,,
1,Bogura,,,,
2,,,,,
3,Upazila,2010-11 Number,2010-11 Installed capacity,2009-10 Number,2009-10 Installed capacity
4,Adamdighi,0,0,0,0
5,Bogra sadar,7,262937.5,7,262937.5
6,Dhunat,0,0,0,0
7,Gabtali,0,0,0,0
8,Dhupchanchia,2,7725,2,7500
9,Kahaloo,3,36000,2,24000
10,Nandigram,0,0,0,0
11,Sariakandi,0,0,0,0
12,Sherpur,2,8500,2,8500
13,Shibganj,13,1565,13,1565
14,Sonatola,0,0,0,0
15,Shajahanpur,1,10500,1,10500
16,Total,28,327227.5,27,315002.5
