,0,1,2,3,4,5,6,7,8,9,10
0,"Number of primary school (Class I-V), teacher and student by municipality 2011",,,,,,,,,,
1,Bogura,,,,,,,,,,
2,,,,,,,,,,,
3,Upazila,Primary school Govt.,Primary school Non- govt.,Primary school Total,Number of teacher Govt.,Number of teacher Non- govt.,Number of teacher Total,Number of student Govt.,Number of student Non- govt.,Number of student Total,Students per teacher
4,Adamdighi,8,1,9,61,2,63,2080,138,2218,35
5,Bogra sadar,43,4,47,356,16,372,19062,927,19989,54
6,Dhunat,2,1,3,19,4,23,1091,147,1223,54
7,Gabtali,4,4,8,29,15,44,1673,657,2330,53
8,Dhupchanchia,4,1,5,31,3,34,1703,69,1772,52
9,Kahaloo,2,1,3,22,4,26,1078,128,1206,46
10,Nandigram,5,3,8,34,12,46,1352,384,1736,38
11,Sariakandi,3,2,5,21,7,28,971,270,1241,44
12,Sherpur,4,1,5,35,4,39,1731,101,1832,47
13,Shibganj,6,4,10,37,16,53,1825,1275,3100,58
14,Sonatola,6,5,11,40,20,60,1884,718,2602,43
15,Shajahanpur,7,2,9,50,9,59,1603,455,2058,35
16,Total,94,29,123,735,112,847,36053,5269,41307,49
