,0,1,2,3,4,5
0,Average rate of vehicle per kilo meter 2011,,,,,
1,,,,,,
2,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
3, Upazila,Vehicle,Vehicle,Vehicle,Vehicle,Vehicle
4, Upazila,Rickshaw,Rickshaw van,Easy bike,Auto rickshaw,Tempo
5,Biral,5,3,2,0,2
6,Birampur,10,5,5,0,3
7,Birganj,5,3,5,5,2
8,Bochaganj,4,3,5,5,4
9,Chirirbandar,5,4,5,5,4
10,Dinajpur Sadar,5,5,10,0,3
11,Fulbari,10,8,10,10,3
12,Ghoraghat,7,5,4,4,3
13,Hakimpur,10,5,5,0,3
14,Kaharole,5,3,7,7,0
15,Khansama,0,2,2,2,1
16,Nawabganj,8,0,5,0,3
17,Parbatipur,5,5,0,5,0
18,Average,6,4,5,5,3
