,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,,,,
2,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
3, Upazila,Labour,Labour,Labour
4, Upazila,Male,Female,Child (under 15 years old)
5,Biral,160,120,70
6,Birampur,250,150,150
7,Birganj,160,120,70
8,Bochaganj,180,160,90
9,Chirirbandar,200,120,120
10,Dinajpur Sadar,158,136,75
11,Fulbari,200,150,100
12,Ghoraghat,250,160,150
13,Hakimpur,250,150,150
14,Kaharole,150,130,70
15,Khansama,200,130,100
16,Nawabganj,250,150,150
17,Parbatipur,180,120,55
18,Average,199,138,104
