,0,1,2,3,4
0,"Area and production of water melon, melon (bangi) in the following years",,,,
1,(Area in acres & production in metric tons),,,,
2,Upazila,2010-11 Area,2010-11 Production,2009-10 Area,2009-10 Production
3,Basail,0,0,0,0
4,Bhuapur,14,45.80,19,41.40
5,Delduar,4,10,4,10
6,Dhanbari,3.50,8.50,1.90,4.37
7,Ghatail,10.95,28.41,12.80,34.53
8,Gopalpur,0,0,0,0
9,Kalihati,5,12,6,15
10,Madhupur,2.70,2.45,6.19,5.51
11,Mirzapur,11,24,12,24
12,Nagarpur,4.80,12,4,10
13,Sakhipur,11,20,13,25
14,Tangail Sadar,17.35,56.49,21,78.97
15,Total,84.30,219.65,99.89,248.78
