,0,1,2,3,4
0,"Number of branch of specialized bank (Krishi, co-operative etc.) 2011",,,,
1,,,,,
2,Upazila,Number of all branches,Number of employees,Number of savings A/C,Number of current A/C
3,Basail,1,7,3365,56
4,Bhuapur,2,17,4691,91
5,Delduar,2,18,5482,65
6,Dhanbari,1,8,1514,146
7,Ghatail,2,17,11806,244
8,Gopalpur,4,27,35197,137
9,Kalihati,5,41,34095,703
10,Madhupur,4,34,16707,235
11,Mirzapur,3,25,28180,508
12,Nagarpur,4,24,33978,161
13,Sakhipur,3,27,21590,572
14,Tangail Sadar,8,50,45985,272
15,Total,39,295,242590,3190
