,0,1,2,3,4,5
0,Broad soil classification 2008,,,,,
1,,,,,,
2, Upazila, Total,Soil classification,Soil classification,Soil classification,Soil classification
3, Upazila, Total,Doash,Bele,Etel,Kankar
4,Alamdanga,83195,49560,15604,13510,4521
5,Chuadanga Sadar,71558,35774,14317,21464,0
6,Damurhuda,76227,31389,16854,27984,0
7,Jibonnagar,50146,40402,8372,1372,0
8,Total,281126,157125,55147,64330,4521
