,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,"
Upazila",Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
2,"
Upazila","Weaving/
handloom",Handy,"Husking
crafts mill","Goor
processing","Biri
factory","Salt
processing","Dry fish
processing",Pottery,Others
3,Barlekha,0,55,42,0,0,0,0,15,0
4,Juri,18,0,315,0,0,0,0,0,0
5,Kamalganj,0,0,87,0,0,0,0,0,0
6,Kulaura,32,0,80,0,0,0,0,0,0
7,Moulvibazar Sadar,0,0,68,0,0,0,0,10,0
8,Rajnagar,0,0,31,0,0,0,0,0,0
9,Sreemangal,35,0,23,0,0,0,0,0,0
10,Total,85,55,646,0,0,0,0,25,0
