,0,1,2,3,4,5,6,7
0,"Area and production of brinjal, lady s finger and arum 2010-11",,,,,,,
1,(Area in acre and production in metric ton),,,,,,,
2,"
Upazila",Brinjal,Brinjal,Lady’s finger,Lady’s finger,Arum,Arum,
3,"
Upazila",Area,Production,Area,Production,Area,Production,
4,Barlekha,74,180,,38,240,482,3350
5,Juri,124,1340,,57,465,153,750
6,Kamalganj,380,5115,,180,720,60,800
7,Kulaura,62,130,,109,22,50,100
8,Moulvibazar Sadar,88,278,,50,39,67,112
9,Rajnagar,30,20,,23,37,0,0
10,Sreemangal,104,1050,,25,40,642,7800
11,Total,862,8113,,482,1563,1454,12912
12,,,,38,,,,
