,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Janata bank,Janata bank,Janata bank,Janata bank,Janata bank
3, Upazila,Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
4, Upazila,Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
5,Barlekha,3,12500,2500,40,15,1,8553,1400,211,0
6,Juri,1,2054,247,82,9,2,10105,249,219,6
7,Kamalganj,0,3,0,0,0,1,0,0,0,0
8,Kulaura,2,15032,752,313,47,1,5743,281,72,10
9,Moulvibazar Sadar,7,22150,2397,872,283,4,665,75,42,4
10,Rajnagar,3,8178,340,169,14,1,3430,284,50,4
11,Sreemangal,3,7846,458,185,39,1,3869,310,113,14
12,Total,19,67763,6694,1661,407,11,32365,2599,707,38
