,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
3, Upazila,Weaving/ handloom,Handy,Husking crafts mill,Goor processing,Biri factory,Salt processing,Dry fish processing,Pottery,Others
4,Chakaria,40,40,10000,0,0,0,20,10,0
5,Cox's Bazar Sadar,0,0,430,0,0,38,10000,40,0
6,Kutubdia,0,0,0,0,0,0,0,0,0
7,Moheshkhali,150,50,50,0,0,3,100,50,50
8,Pekua,0,0,0,0,0,0,0,0,0
9,Ramu,14,0,420,0,0,0,0,20,0
10,Teknaf,62,136,60,0,0,0,12,6,0
11,Ukhia,0,5,190,0,0,0,0,0,0
12,Total,266,231,11150,0,0,41,10132,126,50
