,0,1,2,3,4,5,6
0,Number of religious institution 2011,,,,,,
1,,,,,,,
2,Upazila,Mosque,Eid-Gah,Temple (Mandir),Church (Girza),Pagoda,Others
3,Kalkini,494,31,36,3,0,0
4,Madaripur Sadar,445,12,83,1,0,0
5,Rajoir,408,85,195,9,0,0
6,Shibchar,1356,50,40,0,0,0
7,Total,2703,178,354,13,0,0
