,0,1,2,3,4
0,Number of low lift pump scheme 2010-11,,,,
1,"
Upazila",Number of pump fielded,Number of pump fielded,Number of pump fielded,Area irrigated (in acre)
2,"
Upazila",Electric,Diesel,Total,Area irrigated (in acre)
3,Biral,500,14600,15100,86457
4,Birampur,253,1902,2155,17150
5,Birganj,1160,8925,10085,61975
6,Bochaganj,367,6664,7031,55295
7,Chirirbandar,3115,5282,8397,42355
8,Dinajpur Sadar,4643,7581,12224,48450
9,Fulbari,475,5040,5515,21214
10,Ghoraghat,230,1771,2001,20575
11,Hakimpur,188,825,1013,7951
12,Kaharole,375,3950,4325,740325
13,Khansama,768,2918,3686,35320
14,Nawabganj,415,3339,3754,28970
15,Parbatipur,1448,8009,9457,40145
16,Total,13937,70806,84743,1206182
