,0,1,2,3,4
0,Area and production of turmeric and ginger 2010-11,,,,
1,(Area in acre and production in metric ton),,,,
2,"
Upazila",Turmeric,Turmeric,Ginger,Ginger
3,"
Upazila",Area,Production,Area,Production
4,Biral,52,212,7,20
5,Birampur,48,213,25,135
6,Birganj,61,74,64,448
7,Bochaganj,139,139,14,35
8,Chirirbandar,54,83,31,89
9,Dinajpur Sadar,33,37,30,42
10,Fulbari,35,15,5,7
11,Ghoraghat,32,136,12,65
12,Hakimpur,11,69,3,22
13,Kaharole,29,34,9,18
14,Khansama,90,324,106,387
15,Nawabganj,217,922,24,130
16,Parbatipur,50,98,7,25
17,Total,851,2356,337,1422
