,0,1,2,3,4,5
0,"Number of ward, mahalla and household by municipality 2011",,,,,
1,Upazila,"Name of
municipality",Total ward,Total mahalla,Total holding,Total household
2,Biral,-,0,0,0,0
3,Birampur,Birampur,9,26,7230,10802
4,Birganj,Birganj,9,11,3851,4535
5,Bochaganj,Setabganj,9,33,6582,7128
6,Chirirbandar,-,0,0,0,0
7,Dinajpur Sadar,Dinajpur,12,80,25144,40929
8,Fulbari,Fulbari,9,14,6328,8170
9,Ghoraghat,-,9,29,4180,5570
10,Hakimpur,Hakimpur,9,17,4849,6679
11,Kaharole,-,0,0,0,0
12,Khansama,-,0,0,0,0
13,Nawabganj,-,0,0,0,0
14,Parbatipur,Parbatipur,9,36,7010,7299
15,Total,-,75,246,65174,91112
