,0,1,2,3,4,5
0,Sanction post of Government employee by category 2011,,,,,
1,Upazila,Class-I,Class-II,Class-III,Class-IV,"Number of
employee"
2,Biral,41,15,863,173,1092
3,Birampur,32,31,525,121,709
4,Birganj,42,27,327,115,511
5,Bochaganj,48,25,298,234,605
6,Chirirbandar,33,20,136,77,266
7,Dinajpur Sadar,628,268,5384,598,6878
8,Fulbari,39,21,502,160,722
9,Ghoraghat,32,26,365,125,548
10,Hakimpur,39,45,265,569,918
11,Kaharole,32,19,479,100,630
12,Khansama,40,39,229,141,449
13,Nawabganj,38,31,573,99,741
14,Parbatipur,61,34,500,174,769
15,Total,1105,601,10446,2686,14838
