,0,1,2,3,4,5
0,Average rate of vehicle per kilo meter 2011,,,,,
1,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
2,"
Upazila",Vehicle,Vehicle,Vehicle,Vehicle,Vehicle
3,"
Upazila",Rickshaw,Rickshaw van,Easy bike,Auto rickshaw,Tempo
4,Biral,5,3,2,0,2
5,Birampur,10,5,5,0,3
6,Birganj,5,3,5,5,2
7,Bochaganj,4,3,5,5,4
8,Chirirbandar,5,4,5,5,4
9,Dinajpur Sadar,5,5,10,0,3
10,Fulbari,10,8,10,10,3
11,Ghoraghat,7,5,4,4,3
12,Hakimpur,10,5,5,0,3
13,Kaharole,5,3,7,7,0
14,Khansama,0,2,2,2,1
15,Nawabganj,8,0,5,0,3
16,Parbatipur,5,5,0,5,0
17,Average,6,4,5,5,3
