,0,1,2,3,4
0,Number of establishment and person engaged in cottage industry 2011,,,,
1,"
Upazila","
Number of unit",Person engaged,Person engaged,Person engaged
2,"
Upazila","
Number of unit",Family,Hired,Total
3,Biral,0,0,0,0
4,Birampur,85,190,65,255
5,Birganj,401,715,0,715
6,Bochaganj,2536,1656,1708,3364
7,Chirirbandar,160,480,0,480
8,Dinajpur Sadar,141,340,0,340
9,Fulbari,100,120,44,164
10,Ghoraghat,147,162,90,252
11,Hakimpur,450,450,50,500
12,Kaharole,37,70,140,210
13,Khansama,1,0,30,30
14,Nawabganj,404,498,102,600
15,Parbatipur,365,1095,72,1167
16,Total,4827,5776,2301,8077
