,0,1,2,3,4,5,6,7
0,Irrigation by means 2010-2011,,,,,,,
1,(In acre),,,,,,,
2, Upazila,Irrigation management - Power pump,Irrigation management - Tube well,Irrigation management - Doon,Irrigation management - Swing basket,Irrigation management - Canal,Irrigation management - Others, Total
3,Abhaynagar,3416,0,0,0,0,0,3416
4,Bagherpara,967,3,2,0,0,0,972
5,Chaugachha,5190,0,0,0,0,0,5190
6,Jessore Sadar,5380,0,0,0,0,0,5380
7,Jhikargachha,3520,0,0,0,0,0,3520
8,Keshabpur,610,0,0,0,0,0,610
9,Manirampur,1457,0,0,0,0,0,1457
10,Sharsha,642,0,0,0,0,0,642
11,Total,21182,3,2,0,0,0,21187
