,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
3,Azmirigonj,0,0,10,0,0,0,0,22,50
4,Bahubal,0,0,63,0,0,0,0,40,0
5,Baniachang,0,0,180,0,0,0,0,0,0
6,Chunarughat,345,181,1600,115,0,0,0,21,0
7,Habiganj Sadar,0,167,317,0,0,0,0,64,32
8,Lakhai,0,0,70,0,0,0,40,55,0
9,Madhabpur,0,0,286,2,0,0,5,67,25
10,Nabiganj,0,135,202,0,0,0,0,0,0
11,Total,345,483,2728,117,0,0,45,269,107
